image_id, xmin, ymin, xmax, ymax, class_id
VID193_A6_4_01d18h00m.tif, 1203.7574, 1029.7574, 1212.2426, 1038.2426, 0
VID193_A6_4_01d18h00m.tif, 1230.7574, 1027.7574, 1239.2426, 1036.2426, 0
VID193_A6_4_01d18h00m.tif, 1382.3431, 1025.3431, 1393.6569, 1036.6569, 0
VID193_A6_4_01d18h00m.tif, 1047.3431, 1025.3431, 1058.6569, 1036.6569, 0
VID193_A6_4_01d18h00m.tif, 901.7574, 1026.7574, 910.2426, 1035.2426, 0
VID193_A6_4_01d18h00m.tif, 587.7574, 1026.7574, 596.2426, 1035.2426, 0
VID193_A6_4_01d18h00m.tif, 370.7574, 1026.7574, 379.2426, 1035.2426, 0
VID193_A6_4_01d18h00m.tif, 764.7574, 1025.7574, 773.2426, 1034.2426, 0
VID193_A6_4_01d18h00m.tif, 1244.7574, 1023.7574, 1253.2426, 1032.2426, 0
VID193_A6_4_01d18h00m.tif, 705.7574, 1022.7574, 714.2426, 1031.2426, 0
VID193_A6_4_01d18h00m.tif, 618.3431, 1021.3431, 629.6569, 1032.6569, 0
VID193_A6_4_01d18h00m.tif, 1273.3431, 1020.3431, 1284.6569, 1031.6569, 0
VID193_A6_4_01d18h00m.tif, 382.3431, 1020.3431, 393.6569, 1031.6569, 0
VID193_A6_4_01d18h00m.tif, 907.7574, 1018.7574, 916.2426, 1027.2426, 0
VID193_A6_4_01d18h00m.tif, 716.3431, 1016.3431, 727.6569, 1027.6569, 0
VID193_A6_4_01d18h00m.tif, 160.7574, 1017.7574, 169.2426, 1026.2426, 0
VID193_A6_4_01d18h00m.tif, 126.7574, 1017.7574, 135.2426, 1026.2426, 0
VID193_A6_4_01d18h00m.tif, 245.7574, 1016.7574, 254.2426, 1025.2426, 0
VID193_A6_4_01d18h00m.tif, 21.7574, 1016.7574, 30.2426, 1025.2426, 0
VID193_A6_4_01d18h00m.tif, 546.7574, 1015.7574, 555.2426, 1024.2426, 0
VID193_A6_4_01d18h00m.tif, 895.7574, 1014.7574, 904.2426, 1023.2426, 0
VID193_A6_4_01d18h00m.tif, 34.7574, 1014.7574, 43.2426, 1023.2426, 0
VID193_A6_4_01d18h00m.tif, 1346.3431, 1012.3431, 1357.6569, 1023.6569, 0
VID193_A6_4_01d18h00m.tif, 605.7574, 1012.7574, 614.2426, 1021.2426, 0
VID193_A6_4_01d18h00m.tif, 584.3431, 1008.3431, 595.6569, 1019.6569, 0
VID193_A6_4_01d18h00m.tif, 176.3431, 1008.3431, 187.6569, 1019.6569, 0
VID193_A6_4_01d18h00m.tif, 139.3431, 1008.3431, 150.6569, 1019.6569, 0
VID193_A6_4_01d18h00m.tif, 1055.3431, 1007.3431, 1066.6569, 1018.6569, 0
VID193_A6_4_01d18h00m.tif, 1181.7574, 1007.7574, 1190.2426, 1016.2426, 0
VID193_A6_4_01d18h00m.tif, 154.7574, 1005.7574, 163.2426, 1014.2426, 0
VID193_A6_4_01d18h00m.tif, 561.7574, 1004.7574, 570.2426, 1013.2426, 0
VID193_A6_4_01d18h00m.tif, 120.7574, 1004.7574, 129.2426, 1013.2426, 0
VID193_A6_4_01d18h00m.tif, 1356.3431, 1002.3431, 1367.6569, 1013.6569, 0
VID193_A6_4_01d18h00m.tif, 951.9289, 1000.9289, 966.0711, 1015.0711, 0
VID193_A6_4_01d18h00m.tif, 596.7574, 1003.7574, 605.2426, 1012.2426, 0
VID193_A6_4_01d18h00m.tif, 931.9289, 999.9289, 946.0711, 1014.0711, 0
VID193_A6_4_01d18h00m.tif, 1390.9289, 995.9289, 1405.0711, 1010.0711, 0
VID193_A6_4_01d18h00m.tif, 1086.7574, 997.7574, 1095.2426, 1006.2426, 0
VID193_A6_4_01d18h00m.tif, 145.7574, 996.7574, 154.2426, 1005.2426, 0
VID193_A6_4_01d18h00m.tif, 36.7574, 994.7574, 45.2426, 1003.2426, 0
VID193_A6_4_01d18h00m.tif, 745.9289, 990.9289, 760.0711, 1005.0711, 0
VID193_A6_4_01d18h00m.tif, 555.7574, 993.7574, 564.2426, 1002.2426, 0
VID193_A6_4_01d18h00m.tif, 1015.7574, 991.7574, 1024.2426, 1000.2426, 0
VID193_A6_4_01d18h00m.tif, 972.7574, 991.7574, 981.2426, 1000.2426, 0
VID193_A6_4_01d18h00m.tif, 160.3431, 990.3431, 171.6569, 1001.6569, 0
VID193_A6_4_01d18h00m.tif, 864.7574, 989.7574, 873.2426, 998.2426, 0
VID193_A6_4_01d18h00m.tif, 825.9289, 986.9289, 840.0711, 1001.0711, 0
VID193_A6_4_01d18h00m.tif, 268.3431, 986.3431, 279.6569, 997.6569, 0
VID193_A6_4_01d18h00m.tif, 23.3431, 986.3431, 34.6569, 997.6569, 0
VID193_A6_4_01d18h00m.tif, 1087.3431, 985.3431, 1098.6569, 996.6569, 0
VID193_A6_4_01d18h00m.tif, 846.3431, 979.3431, 857.6569, 990.6569, 0
VID193_A6_4_01d18h00m.tif, 308.9289, 977.9289, 323.0711, 992.0711, 0
