image_id, xmin, ymin, xmax, ymax, class_id
VID193_A2_1_00d10h00m.tif, 519.7574, 1027.7574, 528.2426, 1036.2426, 0
VID193_A2_1_00d10h00m.tif, 667.7574, 1024.7574, 676.2426, 1033.2426, 0
VID193_A2_1_00d10h00m.tif, 835.7574, 1023.7574, 844.2426, 1032.2426, 0
VID193_A2_1_00d10h00m.tif, 249.7574, 1023.7574, 258.2426, 1032.2426, 0
VID193_A2_1_00d10h00m.tif, 709.3431, 1017.3431, 720.6569, 1028.6569, 0
VID193_A2_1_00d10h00m.tif, 459.3431, 1017.3431, 470.6569, 1028.6569, 0
VID193_A2_1_00d10h00m.tif, 233.3431, 1017.3431, 244.6569, 1028.6569, 0
VID193_A2_1_00d10h00m.tif, 1323.3431, 1016.3431, 1334.6569, 1027.6569, 0
VID193_A2_1_00d10h00m.tif, 24.7574, 1016.7574, 33.2426, 1025.2426, 0
VID193_A2_1_00d10h00m.tif, 1196.7574, 1015.7574, 1205.2426, 1024.2426, 0
VID193_A2_1_00d10h00m.tif, 163.7574, 1014.7574, 172.2426, 1023.2426, 0
VID193_A2_1_00d10h00m.tif, 1347.7574, 1013.7574, 1356.2426, 1022.2426, 0
VID193_A2_1_00d10h00m.tif, 935.3431, 1012.3431, 946.6569, 1023.6569, 0
VID193_A2_1_00d10h00m.tif, 173.3431, 1008.3431, 184.6569, 1019.6569, 0
VID193_A2_1_00d10h00m.tif, 75.3431, 1007.3431, 86.6569, 1018.6569, 0
VID193_A2_1_00d10h00m.tif, 615.7574, 1005.7574, 624.2426, 1014.2426, 0
VID193_A2_1_00d10h00m.tif, 1332.7574, 1004.7574, 1341.2426, 1013.2426, 0
VID193_A2_1_00d10h00m.tif, 869.7574, 1003.7574, 878.2426, 1012.2426, 0
VID193_A2_1_00d10h00m.tif, 568.7574, 1003.7574, 577.2426, 1012.2426, 0
VID193_A2_1_00d10h00m.tif, 970.7574, 1002.7574, 979.2426, 1011.2426, 0
VID193_A2_1_00d10h00m.tif, 760.7574, 1002.7574, 769.2426, 1011.2426, 0
VID193_A2_1_00d10h00m.tif, 1032.3431, 998.3431, 1043.6569, 1009.6569, 0
VID193_A2_1_00d10h00m.tif, 905.7574, 999.7574, 914.2426, 1008.2426, 0
VID193_A2_1_00d10h00m.tif, 249.7574, 999.7574, 258.2426, 1008.2426, 0
VID193_A2_1_00d10h00m.tif, 143.7574, 999.7574, 152.2426, 1008.2426, 0
VID193_A2_1_00d10h00m.tif, 508.3431, 993.3431, 519.6569, 1004.6569, 0
VID193_A2_1_00d10h00m.tif, 958.7574, 993.7574, 967.2426, 1002.2426, 0
VID193_A2_1_00d10h00m.tif, 92.7574, 993.7574, 101.2426, 1002.2426, 0
VID193_A2_1_00d10h00m.tif, 68.7574, 993.7574, 77.2426, 1002.2426, 0
VID193_A2_1_00d10h00m.tif, 332.9289, 989.9289, 347.0711, 1004.0711, 0
VID193_A2_1_00d10h00m.tif, 1272.7574, 989.7574, 1281.2426, 998.2426, 0
VID193_A2_1_00d10h00m.tif, 979.3431, 988.3431, 990.6569, 999.6569, 0
VID193_A2_1_00d10h00m.tif, 350.3431, 988.3431, 361.6569, 999.6569, 0
VID193_A2_1_00d10h00m.tif, 1363.3431, 987.3431, 1374.6569, 998.6569, 0
VID193_A2_1_00d10h00m.tif, 1351.7574, 988.7574, 1360.2426, 997.2426, 0
VID193_A2_1_00d10h00m.tif, 895.3431, 987.3431, 906.6569, 998.6569, 0
VID193_A2_1_00d10h00m.tif, 737.7574, 985.7574, 746.2426, 994.2426, 0
VID193_A2_1_00d10h00m.tif, 485.7574, 985.7574, 494.2426, 994.2426, 0
VID193_A2_1_00d10h00m.tif, 722.7574, 984.7574, 731.2426, 993.2426, 0
VID193_A2_1_00d10h00m.tif, 235.3431, 982.3431, 246.6569, 993.6569, 0
VID193_A2_1_00d10h00m.tif, 50.7574, 983.7574, 59.2426, 992.2426, 0
VID193_A2_1_00d10h00m.tif, 1114.3431, 981.3431, 1125.6569, 992.6569, 0
VID193_A2_1_00d10h00m.tif, 1332.3431, 980.3431, 1343.6569, 991.6569, 0
VID193_A2_1_00d10h00m.tif, 633.7574, 980.7574, 642.2426, 989.2426, 0
VID193_A2_1_00d10h00m.tif, 545.7574, 980.7574, 554.2426, 989.2426, 0
VID193_A2_1_00d10h00m.tif, 442.7574, 980.7574, 451.2426, 989.2426, 0
VID193_A2_1_00d10h00m.tif, 63.7574, 980.7574, 72.2426, 989.2426, 0
VID193_A2_1_00d10h00m.tif, 911.3431, 975.3431, 922.6569, 986.6569, 0
