image_id, xmin, ymin, xmax, ymax, class_id
VID193_A1_3_01d02h00m.tif, 484.7574, 1030.7574, 493.2426, 1039.2426, 0
VID193_A1_3_01d02h00m.tif, 1173.7574, 1028.7574, 1182.2426, 1037.2426, 0
VID193_A1_3_01d02h00m.tif, 508.7574, 1028.7574, 517.2426, 1037.2426, 0
VID193_A1_3_01d02h00m.tif, 910.3431, 1026.3431, 921.6569, 1037.6569, 0
VID193_A1_3_01d02h00m.tif, 1293.3431, 1024.3431, 1304.6569, 1035.6569, 0
VID193_A1_3_01d02h00m.tif, 783.7574, 1023.7574, 792.2426, 1032.2426, 0
VID193_A1_3_01d02h00m.tif, 919.3431, 1021.3431, 930.6569, 1032.6569, 0
VID193_A1_3_01d02h00m.tif, 225.5147, 1018.5147, 242.4853, 1035.4853, 0
VID193_A1_3_01d02h00m.tif, 120.3431, 1021.3431, 131.6569, 1032.6569, 0
VID193_A1_3_01d02h00m.tif, 373.9289, 1017.9289, 388.0711, 1032.0711, 0
VID193_A1_3_01d02h00m.tif, 841.7574, 1019.7574, 850.2426, 1028.2426, 0
VID193_A1_3_01d02h00m.tif, 963.3431, 1016.3431, 974.6569, 1027.6569, 0
VID193_A1_3_01d02h00m.tif, 326.3431, 1015.3431, 337.6569, 1026.6569, 0
VID193_A1_3_01d02h00m.tif, 1328.3431, 1014.3431, 1339.6569, 1025.6569, 0
VID193_A1_3_01d02h00m.tif, 498.7574, 1014.7574, 507.2426, 1023.2426, 0
VID193_A1_3_01d02h00m.tif, 423.3431, 1013.3431, 434.6569, 1024.6569, 0
VID193_A1_3_01d02h00m.tif, 71.3431, 1013.3431, 82.6569, 1024.6569, 0
VID193_A1_3_01d02h00m.tif, 794.3431, 1012.3431, 805.6569, 1023.6569, 0
VID193_A1_3_01d02h00m.tif, 263.7574, 1012.7574, 272.2426, 1021.2426, 0
VID193_A1_3_01d02h00m.tif, 145.7574, 1012.7574, 154.2426, 1021.2426, 0
VID193_A1_3_01d02h00m.tif, 870.9289, 1008.9289, 885.0711, 1023.0711, 0
VID193_A1_3_01d02h00m.tif, 457.7574, 1011.7574, 466.2426, 1020.2426, 0
VID193_A1_3_01d02h00m.tif, 351.1005, 1006.1005, 370.8995, 1025.8995, 0
VID193_A1_3_01d02h00m.tif, 59.7574, 1011.7574, 68.2426, 1020.2426, 0
VID193_A1_3_01d02h00m.tif, 1291.9289, 1006.9289, 1306.0711, 1021.0711, 0
VID193_A1_3_01d02h00m.tif, 898.7574, 1009.7574, 907.2426, 1018.2426, 0
VID193_A1_3_01d02h00m.tif, 400.1005, 1004.1005, 419.8995, 1023.8995, 0
VID193_A1_3_01d02h00m.tif, 4.9289, 1006.9289, 19.0711, 1021.0711, 0
VID193_A1_3_01d02h00m.tif, 1377.3431, 1007.3431, 1388.6569, 1018.6569, 0
